,rating,title,credit,box,year,actor
1,,Top Gun: Maverick,Maverick Producer,,2020,Tom Cruise
2,97,Mission: Impossible - Fallout,Producer Ethan Hunt,,2018,Tom Cruise
3,,Missão Impossível Efeito Fallout,Ethan Hunt Producer,,2018,Tom Cruise
4,86,American Made,Barry Seal,51.1,2017,Tom Cruise
5,15,The Mummy,Nick Morton,80.1,2017,Tom Cruise
6,38,Jack Reacher: Never Go Back,Producer Jack Reacher,58.7,2016,Tom Cruise
7,,Van Helsing,Van Helsing,,2016,Tom Cruise
8,93,Mission: Impossible Rogue Nation,Producer,15.5,2015,Tom Cruise
9,90,Winning: The Racing Life Of Paul Newman,Actor,,2015,Tom Cruise
10,90,Live Die Repeat: Edge of Tomorrow,Major William Cage,77.2,2014,Tom Cruise
11,52,Oblivion,Jack Harper,89.1,2013,Tom Cruise
12,,Matarese Circle,Actor,,2013,Tom Cruise
13,62,Jack Reacher,Jack Reacher Producer,80.1,2012,Tom Cruise
14,41,Rock of Ages,Stacee Jaxx,38.6,2012,Tom Cruise
15,93,Mission: Impossible Ghost Protocol,Producer Ethan Hunt,209.4,2011,Tom Cruise
16,52,Knight & Day,Roy Miller,76.5,2010,Tom Cruise
17,,Together: The Hendrick Motorsports Story,Narrator,,2009,Tom Cruise
18,62,Valkyrie,Colonel Claus von Stauffenberg,8.3,2008,Tom Cruise
19,42,Death Race,Producer,36.1,2008,Tom Cruise
20,81,Tropic Thunder,Les Grossman,110.5,2008,Tom Cruise
21,22,The Eye,Producer,31.4,2008,Tom Cruise
22,26,Lions for Lambs,Senator Japser Irving,1.5,2007,Tom Cruise
23,70,Mission: Impossible III,Ethan Hunt Producer,133.4,2006,Tom Cruise
24,35,Ask the Dust,Producer,0.7,2006,Tom Cruise
25,29,Elizabethtown,Actor Producer,26.9,2005,Tom Cruise
26,75,War of the Worlds,Producer Ray Ferrier,234.2,2005,Tom Cruise
27,,H.G. Wells' The War of the Worlds: The Real Story,Actor,,2005,Tom Cruise
28,,H.G. Wells and the War of the Worlds: A Documentary,Actor,,2005,Tom Cruise
29,86,Collateral,Vincent,100.1,2004,Tom Cruise
30,,Narco,Executive Producer,,2004,Tom Cruise
31,66,The Last Samurai,Producer Capt. Nathan Algren,11.1,2003,Tom Cruise
32,91,Shattered Glass,Executive Producer,2.2,2003,Tom Cruise
33,83,Narc,Executive Producer,10.3,2002,Tom Cruise
